GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Patterns,patterns.creation.abstractfactory,Product_B2,3,0,0,0,1,0,1,0,1,0
Patterns,patterns.creation.abstractfactory,Product_B1,3,0,0,0,1,0,1,0,1,0
Patterns,patterns.creation.abstractfactory,ConcreteFactory_2,11,0,0,0,3,0,3,0,3,0
Patterns,patterns.creation.abstractfactory,ConcreteFactory_1,11,0,0,0,3,0,3,0,3,0
Patterns,patterns.creation.abstractfactory,Product_A1,3,0,0,0,1,0,1,0,1,0
Patterns,patterns.creation.abstractfactory,Product_A2,3,0,0,0,1,0,1,0,1,0
Patterns,patterns.creation.abstractfactory,Main,68,0,0,0,10,0,2,0,2,0
Patterns,patterns.creation.singleton,ConsoleLogger,13,0,0,0,3,0,2,0,2,0
Patterns,patterns.creation.singleton,FileLogger,21,0,2,0,7,0,4,0,3,0
Patterns,patterns.creation.singleton,Main,22,0,0,0,6,0,2,0,2,0
Patterns,patterns.creation.singleton,LoggerFactory,24,0,4,0,8,0,4,0,2,0
Patterns,patterns.creation.builder,BuilderFactory,24,0,4,0,7,0,4,0,2,0
Patterns,patterns.creation.builder,Component_B,3,0,0,0,1,0,1,0,1,0
Patterns,patterns.creation.builder,Component_A,3,0,0,0,1,0,1,0,1,0
Patterns,patterns.creation.builder,Component,10,0,0,0,4,0,3,0,3,0
Patterns,patterns.creation.builder,NewComponent_A,3,0,0,0,1,0,1,0,1,0
Patterns,patterns.creation.builder,ConcreteBuilder_1,11,0,0,0,3,0,3,0,3,0
Patterns,patterns.creation.builder,NewComponent_B,3,0,0,0,1,0,1,0,1,0
Patterns,patterns.creation.builder,ConcreteBuilder_2,11,0,0,0,3,0,3,0,3,0
Patterns,patterns.creation.builder,Main,72,0,0,0,12,0,2,0,2,0
Patterns,patterns.creation.factorymethod,ParentClass,3,0,0,0,1,0,1,0,1,0
Patterns,patterns.creation.factorymethod,SubClass_1,3,0,0,0,1,0,1,0,1,0
Patterns,patterns.creation.factorymethod,SubClass_2,3,0,0,0,1,0,1,0,1,0
Patterns,patterns.creation.factorymethod,ConcreteCreator,26,0,4,0,8,0,4,0,2,0
Patterns,patterns.creation.factorymethod,Main,42,0,0,0,8,0,2,0,2,0
Patterns,patterns.creation.prototype,Car,13,0,0,0,6,0,3,0,3,0
Patterns,patterns.creation.prototype,Person,32,0,0,0,13,0,6,0,6,0
Patterns,patterns.creation.prototype,PersonWithDeepCopy,16,0,0,0,4,0,2,0,2,0
Patterns,patterns.creation.prototype,Main,92,0,0,0,29,0,5,0,5,0
